model,dof,logLik,AIC,BIC
Saturated,146,1442.1240349974,-2592.2480699948,-1928.83694054234
Linear spline (knot = 60),105,1362.58983755926,-2515.17967511851,-2038.06893133421
Quadratic,105,1358.63919961671,-2507.27839923343,-2030.16765544912
Linear trend,102,1343.88816049561,-2483.77632099121,-2020.2973127436
