model,dof,logLik,AIC
ANTE,28,1054.38663738489,-2052.77327476978
Exponential,14,880.306349678132,-1732.61269935626
Toeplitz,28,645.864308758673,-1235.72861751735
Compound Symmetry,14,-3889.16818271436,7806.33636542872
AR(1),14,-10155.336133132,20338.6722662639
