model,dof,logLik,AIC
Compound Symmetry,55,-3931.12376913281,7972.24753826563
AR(1),55,-10199.3046146898,20508.6092293796
Exponential,55,846.839563772322,-1583.67912754464
Toeplitz,69,613.161941697366,-1088.32388339473
ANTE,69,1016.0743503899,-1894.14870077979
