"id","cooks_distance","converged","message"
"1",0.00292331990634106,TRUE,NA
"2",0.00103510232730088,TRUE,NA
"4",0.00103888876910404,TRUE,NA
"5",0.0045700328652321,TRUE,NA
"6",0.000823792729927279,TRUE,NA
"9",0.000396767632715574,TRUE,NA
"10",0.00187790196283725,TRUE,NA
"12",0.000546217326082179,TRUE,NA
"13",0.000318181291095032,TRUE,NA
"14",0.000918780510871994,TRUE,NA
"16",0.000202281866326554,TRUE,NA
"17",0.000168043359722921,TRUE,NA
"18",0.00351719849979482,TRUE,NA
"19",0.00300285266568159,TRUE,NA
"20",0.00219749939791848,TRUE,NA
"21",0.0062100421024448,TRUE,NA
"23",0.00134312751700018,TRUE,NA
"24",0.000250300684512723,TRUE,NA
"26",0.00479548342597261,TRUE,NA
"28",0.000105765737789559,TRUE,NA
"29",0.00133977650842492,TRUE,NA
"31",1.87234145968839e-05,TRUE,NA
"32",2.71685357921617e-05,TRUE,NA
"34",0.00105986416430964,TRUE,NA
"36",2.69774683497361e-05,TRUE,NA
"37",0.000230186091408097,TRUE,NA
"38",0.00196947795646439,TRUE,NA
"39",0.000320600489921079,TRUE,NA
"41",0.000667404852932338,TRUE,NA
"42",0.0027331432908431,TRUE,NA
"43",6.34116619672538e-05,TRUE,NA
"45",0.00199502282720489,TRUE,NA
"47",0.00523459384009303,TRUE,NA
"49",0.00295125768662161,TRUE,NA
"50",0.00318763829135193,TRUE,NA
"51",0.000643089594635561,TRUE,NA
"54",0.00658173580726804,TRUE,NA
"59",0.0115086797016545,TRUE,NA
"60",0.00456614834261045,TRUE,NA
"64",0.00124336936217105,TRUE,NA
"66",0.00172012027434695,TRUE,NA
"67",4.36142715819925e-05,TRUE,NA
"68",0.00185904042290224,TRUE,NA
"70",0.000245096761999192,TRUE,NA
"71",0.000429557007952083,TRUE,NA
"72",0.001070603434889,TRUE,NA
"75",2.70939436264521e-05,TRUE,NA
"77",0.00178906032640908,TRUE,NA
"79",0.000949648790961894,TRUE,NA
"81",7.82869614940601e-05,TRUE,NA
"82",0.0100750749944042,TRUE,NA
"85",0.000932479086580022,TRUE,NA
"86",0.000101246555499508,TRUE,NA
"87",0.00839149129027131,TRUE,NA
"88",0.000260222441410277,TRUE,NA
"89",0.000346843463651003,TRUE,NA
"90",0.00276955847714845,TRUE,NA
"91",0.00139191480467051,TRUE,NA
"92",0.000529345022506171,TRUE,NA
"93",0.00199035701709591,TRUE,NA
"95",0.00161762341914199,TRUE,NA
"96",0.000875551686541075,TRUE,NA
"97",0.000663201218300925,TRUE,NA
"100",0.000143508378533802,TRUE,NA
"102",0.000691572504183172,TRUE,NA
"105",0.00198975324325176,TRUE,NA
"106",0.000843229296526418,TRUE,NA
"107",0.000827056763393197,TRUE,NA
"108",0.000307298951530407,TRUE,NA
"109",0.000648403350629079,TRUE,NA
"113",5.98474058808939e-05,TRUE,NA
"115",0.00346442907899907,TRUE,NA
"116",0.000948211207510189,TRUE,NA
"117",0.000384488624927598,TRUE,NA
"119",0.000701674330826389,TRUE,NA
"120",0.000153648186381301,TRUE,NA
"121",0.000628212360465298,TRUE,NA
"122",0.000129212646473908,TRUE,NA
"123",0.000311186219996455,TRUE,NA
"124",0.00211447481230941,TRUE,NA
"125",0.000117165195493636,TRUE,NA
"126",0.00037043141344476,TRUE,NA
"127",0.000302493624559703,TRUE,NA
"130",0.0047136773599845,TRUE,NA
"131",0.000206194820747321,TRUE,NA
"133",0.00103052701172705,TRUE,NA
"135",0.000209208582012784,TRUE,NA
"137",0.000558500724909716,TRUE,NA
"140",0.00228244871756396,TRUE,NA
"141",0.00198229373447663,TRUE,NA
"142",0.000801702048336632,TRUE,NA
"143",0.00146427171190825,TRUE,NA
"144",0.000911545976258344,TRUE,NA
"145",0.000269405471269689,TRUE,NA
"146",0.000761578375412046,TRUE,NA
"147",0.00121951383427459,TRUE,NA
"148",0.00120548469246366,TRUE,NA
"149",0.000216791295267585,TRUE,NA
"152",0.00107009072603881,TRUE,NA
"153",0.000222697622190446,TRUE,NA
"154",0.00481158151405118,TRUE,NA
"155",0.000522731259513488,TRUE,NA
"156",0.000903449203343484,TRUE,NA
"157",0.000742806232383642,TRUE,NA
"158",0.00214877100913151,TRUE,NA
"159",0.000444057132867711,TRUE,NA
"160",0.00163920380755294,TRUE,NA
"162",0.000782400744654892,TRUE,NA
"165",0.000566927902848195,TRUE,NA
"166",0.000393947217035931,TRUE,NA
"168",0.000239399050247197,TRUE,NA
"170",0.000371717390223303,TRUE,NA
"171",0.00274565467719649,TRUE,NA
"172",0.000132452308650164,TRUE,NA
"173",0.000820660092755485,TRUE,NA
"176",0.00283947933504074,TRUE,NA
"179",0.000635958077074577,TRUE,NA
"180",7.58901903984423e-05,TRUE,NA
"183",0.00047228363855679,TRUE,NA
"184",0.00133027335339613,TRUE,NA
"185",0.000943209462362204,TRUE,NA
"186",0.00134927249115619,TRUE,NA
"187",0.000246369348306205,TRUE,NA
"188",0.00220598418919851,TRUE,NA
