"visitc","mean_budesonide","sd_budesonide","mean_nedocromil","sd_nedocromil","mean_placebo","sd_placebo"
0,1.81809523809524,0.449222057139901,1.69737588652482,0.479315949169932,1.78508196721311,0.519552712164019
2,1.92285714285714,0.460331923129447,1.76673758865248,0.464103585195468,1.8324043715847,0.524791649271994
4,1.93666666666667,0.470153477321441,1.8036170212766,0.468868358917427,1.86579234972678,0.528476246824429
12,2.07571428571429,0.524520655273192,1.95602836879433,0.520606623404198,2.03737704918033,0.592465239781615
16,2.13578231292517,0.519754848916964,2.00290780141844,0.524022271891857,2.0883606557377,0.627896839171313
24,2.26081632653061,0.538595980691047,2.19177304964539,0.618025986147997,2.26633879781421,0.693162235400458
28,2.33387755102041,0.586187413319057,2.2686524822695,0.629792732183892,2.34404371584699,0.714442100216624
36,2.50374149659864,0.613502420850583,2.43326241134752,0.683240698492853,2.52650273224044,0.785163809284455
40,2.58183673469388,0.623572364453247,2.52375886524823,0.718546687027853,2.60535519125683,0.806231744533315
48,2.79448979591837,0.713517414589554,2.67248226950355,0.738905712164345,2.76087431693989,0.851568236924648
72,3.30176870748299,0.735832117429967,3.25978723404255,0.799395725430069,3.27453551912568,0.872363643802379
84,3.53020408163265,0.719231390918011,3.47482269503546,0.792706577706026,3.50710382513661,0.822276941353697
96,3.7165306122449,0.719142043108356,3.71553191489362,0.737263691469937,3.68530054644809,0.814876645656913
