"working_correlation","QIC","QICu","Quasi Lik","CIC","params"
"independence",7674.83011160351,7612.25018896618,-3753.12509448309,84.2899613186633,53
"ar1",7693.54096309648,7624.34897600232,-3759.17448800116,87.5959935470802,53
