term,Estimate,StdError,t,ddfm,p.val
(Intercept),1.74554472808986,0.0893759378682926,19.5303654397692,689,<0.001
age_rz,0.00133799003763365,0.00959764569800225,0.139408150679302,689,0.445
gendermale,0.0262561288856617,0.0421104833300621,0.62350575935845,689,0.267
ethnicblack,0.00141127199761965,0.0626201456542186,0.0225370283456786,689,0.491
ethnichispanic,0.00520525522484493,0.0703055245396772,0.0740376415498803,689,0.471
ethnicother,0.0433918207730239,0.0744501879584434,0.582830238081391,689,0.280
TGbudesonide:visitc,0.0190830020453504,0.000442061058679721,43.168249432204,8973,<0.001
TGnedocromil:visitc,0.0199204214941994,0.000441556702729838,45.1140733931686,8973,<0.001
TGplacebo:visitc,0.0187153859982346,0.000393148555515681,47.6038528837685,8973,<0.001
