model,df,AIC,BIC
fit.reml.exp,28,-1785.88068086336,-1584.95971090158
fit.reml.exp.varconst,13,-1699.54089604406,-1606.25615999038
fit.reml.exp.varpower,14,-1708.26047821475,-1607.79999323386
fit.reml.exp.varconstpower,15,-1752.23077034523,-1644.59453643713
fit.reml.exp.varexp,14,-1751.28159013711,-1650.82110515622
fit.reml.exp.varconstprop,15,-1727.63872230292,-1620.00248839482
