"grp","var1","var2","vcov","sdcor"
"id","(Intercept)",NA,11.8922843751082,3.44851915684228
"id","visitc",NA,0.000854520712915609,0.0292321862493316
"id","(Intercept)","visitc",-0.0233428584411362,-0.231558163441951
